GeneID,importance,Symbol,Description
9778,0.0011692060946271,KIAA0232,KIAA0232
2098,0.0011692060946271,ESD,esterase D
23593,0.0011649400792257,HEBP2,heme binding protein 2
10669,0.0011599275134597,CGREF1,cell growth regulator with EF-hand domain 1
4257,0.0011595459236326,MGST1,microsomal glutathione S-transferase 1
23347,0.0011595459236326,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
8733,0.0011587259532194,GPAA1,glycosylphosphatidylinositol anchor attachment 1
27249,0.0011529807984657,MMADHC,metabolism of cobalamin associated D
10951,0.0011529807984657,CBX1,chromobox 1
93380,0.0011504470761436,MMGT1,membrane magnesium transporter 1
51322,0.0011493436293436,WAC,WW domain containing adaptor with coiled-coil
9815,0.0011493436293436,GIT2,GIT ArfGAP 2
4698,0.0011493436293436,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5
9774,0.001147128245476,BCLAF1,BCL2 associated transcription factor 1
2665,0.0011437837837837,GDI2,GDP dissociation inhibitor 2
221895,0.0011437837837837,JAZF1,JAZF zinc finger 1
5525,0.0011437837837837,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha
140739,0.0011413237924865,UBE2F,ubiquitin conjugating enzyme E2 F (putative)
154743,0.0011392841271062,BMT2,base methyltransferase of 25S rRNA 2 homolog
54918,0.0011361132966168,CMTM6,CKLF like MARVEL transmembrane domain containing 6
10006,0.0011340067179076,ABI1,abl interactor 1
27430,0.0011340067179076,MAT2B,methionine adenosyltransferase 2B
5612,0.0011335936790482,THAP12,THAP domain containing 12
56919,0.0011335936790482,DHX33,DEAH-box helicase 33
7341,0.0011328671328671,SUMO1,small ubiquitin like modifier 1
55751,0.0011328671328671,TMEM184C,transmembrane protein 184C
29094,0.0011305791505791,LGALSL,galectin like
50856,0.0011271249814265,CLEC4A,C-type lectin domain family 4 member A
7328,0.0011258687258687,UBE2H,ubiquitin conjugating enzyme E2 H
28985,0.0011258687258687,MCTS1,MCTS1 re-initiation and release factor
51773,0.0011258687258687,RSF1,remodeling and spacing factor 1
821,0.0011247116200676,CANX,calnexin
55904,0.0011247116200676,KMT2E,lysine methyltransferase 2E (inactive)
51639,0.0011247116200676,SF3B6,splicing factor 3b subunit 6
51340,0.0011224775224775,CRNKL1,crooked neck pre-mRNA splicing factor 1
5366,0.0011224775224775,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1
1207,0.0011223884474658,CLNS1A,chloride nucleotide-sensitive channel 1A
834,0.001116599839615,CASP1,caspase 1
80351,0.001116599839615,TNKS2,tankyrase 2
6039,0.0011141620771046,RNASE6,ribonuclease A family member k6
25983,0.0011141620771046,NGDN,neuroguidin
100288432,0.0011141620771046,IL10RB-DT,IL10RB divergent transcript
27069,0.0011141620771046,GHITM,growth hormone inducible transmembrane protein
84263,0.0011141620771046,HSDL2,hydroxysteroid dehydrogenase like 2
6772,0.0011057754204882,STAT1,signal transducer and activator of transcription 1
1318,0.0011057754204882,SLC31A2,solute carrier family 31 member 2
4179,0.0011009523809523,CD46,CD46 molecule
11163,0.0010923046480384,NUDT4,nudix hydrolase 4
6809,0.0010923037323037,STX3,syntaxin 3
306,0.0010859935595431,ANXA3,annexin A3
101060226,0.001078422853742,NBPF19,NBPF member 19
3148,0.001078422853742,HMGB2,high mobility group box 2
7812,0.0010777089783281,CSDE1,cold shock domain containing E1
388564,0.0010729801048405,TMEM238,transmembrane protein 238
